Destination,2015 Combined,2020 Combined,2015 Males,2020 Males,2015 Females,2020 Females
Panama,184710,313165,94841,167057,89869,146108
Papua New Guinea,30940,31068,18734,18895,12206,12173
Paraguay,156462,169567,81303,88311,75159,81256
Peru,154774,1224519,91090,642404,63684,582115
Philippines,212904,226631,110249,117603,102655,109028
Poland,611855,817254,256623,390449,355232,426805
Portugal,864814,1001963,398390,479936,466424,522027
Puerto Rico,280494,247132,130916,114868,149578,132264
Qatar,1687640,2226192,1416361,1842785,271279,383407
Republic of Korea,1370905,1728182,760957,958365,609948,769817
Republic of Moldova,106374,104438,43467,42743,62907,61695
Romania,281048,705310,146758,386946,134290,318364
Russian Federation,11643326,11636959,5715232,5712110,5928094,5924849
Rwanda,514647,513907,256327,259907,258320,254000
Réunion,127209,131769,64537,66852,62672,64917
Saint Barthélemy,0,0,0,0,0,0
Saint Helena,377,437,251,306,126,131
Saint Kitts and Nevis,7443,7725,3916,4066,3527,3659
Saint Lucia,8673,8338,4179,4004,4494,4334
Saint Martin (French part),0,0,0,0,0,0
Saint Pierre and Miquelon,986,998,516,523,470,475
Saint Vincent and the Grenadines,4637,4738,2355,2443,2282,2295
Samoa,4273,4035,2156,2036,2117,1999
San Marino,5195,5543,2867,2991,2328,2552
Sao Tome and Principe,2394,2139,1197,1067,1197,1072
Saudi Arabia,10771366,13454842,7461502,9235130,3309864,4219712
Senegal,266496,274929,141402,145591,125094,129338
Serbia,807441,823011,355180,362493,452261,460518
Seychelles,12791,13050,8954,9136,3837,3914
Sierra Leone,58830,53746,33077,30408,25753,23338
Singapore,2483405,2523648,1096394,1112517,1387011,1411131
Sint Maarten (Dutch part),27295,28845,13077,13822,14218,15023
Slovakia,177632,197167,89014,100552,88618,96615
Slovenia,237616,277964,134460,162815,103156,115149
Solomon Islands,2850,2778,1600,1562,1250,1216
Somalia,40990,58590,21584,32285,19406,26305
South Africa,3231774,2860548,1770945,1627332,1460829,1233216
South America,5819345,10647966,2875049,5325059,2944296,5322907
South Sudan,844112,882252,430944,443405,413168,438847
Spain,5891327,6842360,2884053,3272841,3007274,3569519
Sri Lanka,39706,40254,20745,21196,18961,19058
State of Palestine,273163,272784,124710,124737,148453,148047
Sudan,620523,1379147,311885,685177,308638,693970
Suriname,43127,47801,23544,26271,19583,21530
Sweden,1602533,2003919,786876,1008010,815657,995909
Switzerland,2258227,2491266,1103429,1222207,1154798,1269059
Syrian Arab Republic,835716,868711,426967,432279,408749,436432
Tajikistan,275101,276031,118639,119174,156462,156857
Thailand,3470220,3632496,1742708,1821857,1727512,1810639
Timor-Leste,8520,8399,5148,5076,3372,3323
Togo,277384,279936,139540,141807,137844,138129
Tokelau,1185,1238,564,586,621,652
Tonga,3954,3742,2158,2044,1796,1698
Trinidad and Tobago,50021,78849,24464,39179,25557,39670
Tunisia,56532,60145,29253,31474,27279,28671
Turkey,4346197,6052652,2390166,3124165,1956031,2928487
Turkmenistan,196376,194920,91531,92357,104845,102563
Turks and Caicos Islands,22723,25748,11759,13325,10964,12423
Tuvalu,297,306,144,146,153,160
Uganda,851175,1720313,415845,827664,435330,892649
Ukraine,4915142,4997387,2113924,2149298,2801218,2848089
United Arab Emirates,7995126,8716332,5890170,6419792,2104956,2296540
United Kingdom,8407213,9359827,4021343,4464520,4385870,4895307
United Republic of Tanzania,384567,426017,190617,213007,193950,213010
United States Virgin Islands,56721,56753,26728,26744,29993,30009
United States of America,48194129,50654995,23454382,24489787,24739747,26165208
Uruguay,78799,108267,35642,50937,43157,57330
Uzbekistan,1170873,1162007,545721,543364,625152,618643
Vanuatu,3186,3257,1583,1619,1603,1638
Venezuela (Bolivarian Republic of),1404448,1324193,703458,652823,700990,671370
Viet Nam,72793,76767,42168,44471,30625,32296
Wallis and Futuna Islands,2050,2040,1035,1030,1015,1010
Western Sahara,5179,5424,3059,3205,2120,2219
Yemen,379882,387113,199390,223512,180492,163601
Zambia,132107,187955,66651,97556,65456,90399
Zimbabwe,400482,416141,225653,236561,174829,179580
