Origin,2015 Combined,2020 Combined,2015 Males,2020 Males,2015 Females,2020 Females
Réunion,3260,3460,1250,1372,2010,2088
Saint Barthélemy,0,0,0,0,0,0
Saint Helena,4608,5287,1912,2208,2696,3079
Saint Kitts and Nevis,40247,50323,18145,22392,22102,27931
Saint Lucia,59022,72424,24675,30161,34347,42263
Saint Martin (French part),0,0,0,0,0,0
Saint Pierre and Miquelon,400,433,222,242,178,191
Saint Vincent and the Grenadines,62676,55931,29259,25974,33417,29957
Samoa,116876,135752,57519,66681,59357,69071
San Marino,3745,2466,1283,1001,2462,1465
Sao Tome and Principe,35231,39681,16261,18849,18970,20832
Saudi Arabia,285122,301451,155835,166686,129287,134765
Senegal,599749,700052,372768,436028,226981,264024
Serbia,828250,1005315,406933,498152,421317,507163
Seychelles,27518,29295,11818,12661,15700,16634
Sierra Leone,139306,152495,69285,76152,70021,76343
Singapore,324796,348628,157650,166871,167146,181757
Sint Maarten (Dutch part),2234,2484,1077,1204,1157,1280
Slovakia,347727,420013,157267,195748,190460,224265
Slovenia,137697,161394,61772,74016,75925,87378
Solomon Islands,3952,4344,1956,2123,1996,2221
Somalia,2008496,2034226,1040987,1064788,967509,969438
South Africa,788864,917470,381028,453421,407836,464049
South Sudan,1060678,2575870,543822,1271104,516856,1304766
Spain,1550230,1790900,717921,848827,832309,942073
Sri Lanka,1656297,1960163,937606,1128344,718691,831819
State of Palestine,3774580,4023359,1972933,2112612,1801647,1910747
Sudan,1842613,2104897,1013999,1155694,828614,949203
Suriname,280753,302381,125257,134695,155496,167686
Sweden,304398,329921,137132,148919,167266,181002
Switzerland,653919,723879,301658,333123,352261,390756
Syrian Arab Republic,6468092,8481255,3676122,4884118,2791970,3597137
Tajikistan,585070,586860,334204,337401,250866,249459
Thailand,922389,1087739,348441,423853,573948,663886
Timor-Leste,37383,39650,20595,21797,16788,17853
Togo,495393,545421,247175,271534,248218,273887
Tokelau,2171,2112,1096,1068,1075,1044
Tonga,59221,74567,29485,36760,29736,37807
Trinidad and Tobago,372241,334006,156316,139052,215925,194954
Tunisia,774531,902424,434711,502526,339820,399898
Turkey,3074814,3412765,1588151,1766827,1486663,1645938
Turkmenistan,238556,242581,113833,115604,124723,126977
Turks and Caicos Islands,2454,2689,1036,1136,1418,1553
Tuvalu,3532,4022,1781,2020,1751,2002
Uganda,786306,781521,375993,372780,410313,408741
Ukraine,5803787,6145721,2612408,2781708,3191379,3364013
United Arab Emirates,178363,203254,94439,107495,83924,95759
United Kingdom,4397170,4753873,2233696,2421084,2163474,2332789
United Republic of Tanzania,294212,327980,145385,162545,148827,165435
United States Virgin Islands,3953,3908,2206,2169,1747,1739
United States of America,2864209,3173045,1443642,1602083,1420567,1570962
Uruguay,531221,548592,253955,264160,277266,284432
Uzbekistan,1976061,2027860,1023637,1051421,952424,976439
Vanuatu,6759,7254,3231,3438,3528,3816
Venezuela (Bolivarian Republic of),839982,9518541,377193,4640537,462789,4878004
Viet Nam,2910072,3392637,1464936,1687202,1445136,1705435
Wallis and Futuna Islands,11227,11917,5364,5673,5863,6244
Western Sahara,185885,194932,98132,102851,87753,92081
Yemen,1095240,1301166,720626,847302,374614,453864
Zambia,184375,200703,86167,93623,98208,107080
Zimbabwe,1167205,1243461,602202,641258,565003,602203
