Destination,Origin,2015 Combined,2020 Combined,2015 Males,2020 Males,2015 Females,2020 Females
United Republic of Tanzania,United Kingdom,1061,944,448,396,613,548
United Republic of Tanzania,United States of America,1291,1149,664,588,627,561
United Republic of Tanzania,Zambia,8573,7637,4261,3775,4312,3862
United Republic of Tanzania,Zimbabwe,852,759,344,304,508,455
United Republic of Tanzania,Other,41071,36373,20606,18296,20465,18077
Zambia,Micronesia,0,0,0,0,0,0
Zambia,Angola,27864,31424,14033,16083,13831,15341
Zambia,Australia,232,323,119,170,113,153
Zambia,Botswana,808,1130,371,537,437,593
Zambia,Burundi,4856,7018,2519,3734,2337,3284
Zambia,Cameroon,214,299,114,164,100,135
Zambia,Canada,176,246,83,120,93,126
Zambia,China,887,1241,617,874,270,367
Zambia,Congo,7471,10460,3741,5390,3730,5070
Zambia,Democratic Republic of the Congo,26440,50661,13374,26500,13066,24161
Zambia,France,61,84,25,36,36,48
Zambia,Germany,245,341,132,188,113,153
Zambia,Ghana,154,214,105,150,49,64
Zambia,India,4078,5709,2211,3171,1867,2538
Zambia,Japan,88,123,44,64,44,59
Zambia,Kenya,472,660,259,372,213,288
Zambia,Malawi,10363,13422,5115,6817,5248,6605
Zambia,Mali,191,267,125,179,66,88
Zambia,Mozambique,1146,1603,585,842,561,761
Zambia,Namibia,554,774,246,357,308,417
Zambia,Nigeria,447,625,250,358,197,267
Zambia,Rwanda,6573,9202,3387,4872,3186,4330
Zambia,Senegal,125,175,95,135,30,40
Zambia,South Africa,2706,3788,1372,1975,1334,1813
Zambia,Zimbabwe,13175,16816,5874,7737,7301,9079
Zambia,Uganda,401,559,245,349,156,210
Zambia,Egypt,144,200,91,129,53,71
Zambia,United Kingdom,1132,1584,597,858,535,726
Zambia,United Republic of Tanzania,4726,6617,2176,3151,2550,3466
Zambia,United States of America,836,1169,441,634,395,535
Zambia,Other,15542,21221,8305,11610,7237,9611
Zimbabwe,Micronesia,0,0,0,0,0,0
Zimbabwe,Botswana,3725,3865,2099,2193,1626,1672
Zimbabwe,Malawi,104247,108491,58915,61830,45332,46661
Zimbabwe,Mozambique,118442,122923,66675,69837,51767,53086
Zimbabwe,South Africa,19013,19731,10714,11210,8299,8521
Zimbabwe,United Kingdom,12243,12705,6896,7203,5347,5502
Zimbabwe,Zambia,30538,31692,17105,17969,13433,13723
Zimbabwe,Other,112274,116734,63249,66319,49025,50415
Angola,Micronesia,0,0,0,0,0,0
Angola,Cabo Verde,8662,9215,4138,4612,4524,4603
Angola,Chad,31,1889,13,1126,18,763
Angola,Congo,997,1059,392,445,605,614
Angola,Democratic Republic of the Congo,75667,90444,36585,53856,39082,36588
Angola,Guinea,9252,18142,3798,10804,5454,7338
Angola,Côte d'Ivoire,6448,12644,3505,7530,2943,5114
Angola,Mozambique,235,248,112,124,123,124
Angola,Namibia,839,890,392,437,447,453
Angola,Portugal,5867,5292,2936,2616,2931,2676
Angola,Rwanda,1186,1260,495,559,691,701
Angola,Sao Tome and Principe,6441,6852,2964,3315,3477,3537
Angola,South Africa,5917,6295,2752,3075,3165,3220
Angola,Zambia,290,307,100,116,190,191
Angola,Other,510346,501897,246453,242786,263893,259111
Cameroon,Micronesia,0,0,0,0,0,0
